iter	Passed	Remaining
475	656	722
476	657	720
477	658	718
478	659	716
479	659	714
480	660	712
481	661	711
482	662	709
483	663	707
484	664	705
485	665	703
486	665	701
487	666	699
488	667	697
489	668	695
490	670	695
491	671	693
492	672	691
493	673	689
494	674	687
495	674	685
496	675	683
497	676	681
498	677	679
499	677	677
500	678	675
501	679	674
502	680	672
503	681	670
504	682	668
505	684	668
506	685	666
507	686	665
508	687	663
509	688	661
510	689	659
511	689	657
512	690	655
513	691	653
514	692	652
515	693	650
516	694	648
517	695	647
518	696	645
519	696	643
520	697	641
521	700	641
522	702	640
523	702	638
524	703	636
525	704	634
526	705	633
527	706	631
528	706	629
529	707	627
530	708	625
531	709	623
532	709	622
533	710	620
534	711	618
535	713	617
536	714	615
537	715	614
538	716	613
539	717	611
540	718	609
541	719	607
542	720	606
543	721	604
544	722	603
545	723	601
546	724	599
547	725	598
548	726	596
549	727	594
550	728	593
551	730	592
552	731	591
553	732	589
554	733	587
555	734	586
556	735	585
557	736	583
558	737	581
559	738	580
560	739	578
561	740	576
562	741	575
563	744	575
564	745	573
565	746	572
566	747	570
567	747	568
568	748	567
569	749	565
570	750	564
571	751	562
572	752	561
573	753	559
574	754	557
575	755	556
576	756	554
577	757	552
578	758	551
579	761	551
580	762	550
581	763	548
582	765	547
583	769	547
584	773	548
585	775	548
586	777	546
587	778	545
588	779	543
589	779	541
590	780	540
591	781	538
592	782	536
593	783	535
594	783	533
595	784	531
596	785	530
597	786	528
598	787	527
599	788	525
600	789	523
601	790	522
602	791	520
603	792	519
604	792	517
605	793	515
606	794	514
607	795	512
608	796	511
609	796	509
610	797	507
611	798	506
612	799	504
613	800	503
614	802	502
615	803	500
616	804	499
617	805	497
618	805	496
619	806	494
620	807	493
621	808	491
622	809	489
623	810	488
624	811	486
625	812	485
626	814	484
627	815	483
628	817	482
629	818	480
630	819	479
631	820	477
632	821	476
633	822	474
634	823	473
635	824	471
636	825	470
637	826	468
638	827	467
639	828	465
640	829	464
641	829	462
642	831	461
643	832	460
644	834	459
645	834	457
646	835	456
647	836	454
648	837	453
649	838	451
650	839	450
651	841	449
652	842	447
653	843	446
654	844	444
655	844	443
656	846	441
657	847	440
658	848	439
659	849	437
660	850	436
661	851	434
662	853	433
663	854	432
664	855	431
665	856	429
666	858	428
667	860	427
668	861	426
669	862	424
670	863	423
671	864	421
672	865	420
673	866	419
674	867	417
675	868	416
676	869	414
677	870	413
678	871	411
679	871	410
680	872	408
681	874	407
682	875	406
683	876	405
684	877	403
685	879	402
686	880	401
687	881	399
688	881	398
689	882	396
690	883	395
691	884	393
692	885	392
693	885	390
694	886	389
695	889	388
696	890	387
697	891	385
698	892	384
699	894	383
700	896	382
701	897	380
702	898	379
703	899	378
704	900	376
705	901	375
706	902	373
707	903	372
708	904	371
709	905	369
710	906	368
711	907	367
712	908	365
713	909	364
714	910	362
715	911	361
716	915	361
717	916	359
718	917	358
719	919	357
720	920	356
721	922	355
722	923	353
723	923	352
724	925	351
725	928	350
726	930	349
727	931	348
728	934	347
729	936	346
730	937	345
731	939	343
732	940	342
733	941	341
734	942	339
735	944	338
736	945	337
737	948	336
738	951	336
739	955	335
740	958	334
741	959	333
742	960	332
743	962	331
744	963	329
745	964	328
746	965	326
747	966	325
748	967	324
749	968	322
750	969	321
751	971	320
752	971	318
753	973	317
754	974	316
755	975	314
756	976	313
757	978	312
758	978	310
759	980	309
760	981	308
761	982	306
762	984	305
763	985	304
764	987	303
765	987	301
766	988	300
767	989	298
768	991	297
769	992	296
770	993	295
771	994	293
772	995	292
773	996	291
774	998	289
775	999	288
776	1000	287
777	1000	285
778	1001	284
779	1002	282
780	1003	281
781	1004	279
782	1006	278
783	1007	277
784	1008	276
785	1009	274
786	1010	273
787	1011	272
788	1012	270
789	1013	269
790	1014	267
791	1015	266
792	1015	265
793	1016	263
794	1017	262
795	1020	261
796	1021	260
797	1022	258
798	1024	257
799	1025	256
800	1026	254
801	1027	253
802	1027	252
803	1028	250
804	1029	249
805	1030	247
806	1031	246
807	1034	245
808	1037	244
809	1038	243
810	1043	243
811	1045	242
812	1047	240
813	1048	239
814	1051	238
815	1053	237
816	1055	236
817	1056	235
818	1058	233
819	1060	232
820	1061	231
821	1063	230
822	1065	229
823	1067	227
824	1068	226
825	1069	225
826	1070	223
827	1071	222
828	1072	221
829	1073	219
830	1074	218
831	1075	217
832	1075	215
833	1076	214
834	1077	212
835	1079	211
836	1080	210
837	1080	208
838	1081	207
839	1082	206
840	1083	204
841	1083	203
842	1085	202
843	1086	200
844	1087	199
845	1088	198
846	1088	196
847	1089	195
848	1090	193
849	1091	192
850	1093	191
851	1094	190
852	1095	188
853	1096	187
854	1097	186
855	1097	184
856	1098	183
